MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero,
ArcherGuard,ArcherGuard,57,0,0,20,2000,0,7,0,0,False,False,False,False,Misc\ArcherGuard,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ArcherGuard1,CrossbowOma,57,0,0,20,2000,1800,7,0,0,False,False,False,False,Misc\ArcherGuard1,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guard,Guard,6,0,0,20,2000,0,7,0,0,False,False,False,False,Misc\Guard,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guard1,TaoistGuard,58,0,0,20,2000,0,7,0,0,False,False,False,False,Misc\Guard1,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guard2,OmaGuard,6,0,0,20,2000,1800,7,0,0,False,False,False,False,Misc\Guard2,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sentry,Guard2,6,0,0,20,2000,0,7,0,0,False,False,False,False,Misc\Sentry,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trainer,KatanaGuard,56,0,99,5,2500,1200,7,0,0,False,False,False,False,Misc\Trainer,0,0,0,0,1,1,0,0,0,0,15,15,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TrainingMob,OmaGuard,56,0,99,5,2500,1200,7,0,0,False,False,False,False,Misc\TrainingMob,0,0,0,0,1,1,0,0,0,0,15,15,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BoneFamiliar,BoneFamiliar,23,0,15,0,1500,1500,7,0,0,True,True,True,False,Misc\BoneFamiliar,2,4,3,6,12,23,0,0,0,0,20,20,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shinsu,Shinsu,18,0,32,5,1500,1500,7,0,0,True,True,False,False,Misc\Shinsu,8,8,5,5,7,25,0,0,0,0,25,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
