MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero
弓箭手卫士,ArcherGuard,57,0,0,20,2000,0,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\ArcherGuard,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
弓箭手卫士1,CrossbowOma,57,0,0,20,2000,1800,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\ArcherGuard1,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
警卫,Guard,6,0,0,20,2000,0,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\Guard,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
守卫1,TaoistGuard,58,0,0,20,2000,0,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\Guard1,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
警卫2,OmaGuard,6,0,0,20,2000,1800,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\Guard2,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哨兵,Guard2,6,0,0,20,2000,0,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\Sentry,255,255,255,255,255,255,255,255,255,255,255,255,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
训练员,KatanaGuard,56,0,99,5,2500,1200,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\Trainer,0,0,0,0,1,1,0,0,0,0,15,15,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
训练员1,OmaGuard,56,0,99,5,2500,1200,7,0,0,FALSE,FALSE,FALSE,FALSE,Misc\TrainingMob,0,0,0,0,1,1,0,0,0,0,15,15,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
骨骼熟悉,BoneFamiliar,23,0,15,0,1500,1500,7,0,0,TRUE,TRUE,TRUE,FALSE,Misc\BoneFamiliar,2,4,3,6,12,23,0,0,0,0,20,20,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信宿,Shinsu,18,0,32,5,1500,1500,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Shinsu,8,8,5,5,7,25,0,0,0,0,25,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
