MagicInfo,MagicInfo.Name,MagicInfo.Spell,MagicInfo.BaseCost,MagicInfo.LevelCost,MagicInfo.Icon,MagicInfo.Level1,MagicInfo.Level2,MagicInfo.Level3,MagicInfo.Need1,MagicInfo.Need2,MagicInfo.Need3,MagicInfo.DelayBase,MagicInfo.DelayReduction,MagicInfo.PowerBase,MagicInfo.PowerBonus,MagicInfo.MPowerBase,MagicInfo.MPowerBonus,MagicInfo.MultiplierBase,MagicInfo.MultiplierBonus,MagicInfo.Range
剑术,剑术,Fencing,0,0,2,7,9,12,270,600,1300,1800,0,0,0,0,0,1,0,0
攻杀剑术,攻杀剑术,Slaying,0,0,6,15,17,20,500,1100,1800,1800,0,0,0,0,0,1,0,0
刺杀剑术,刺杀剑术,Thrusting,0,0,11,22,24,27,2000,3500,6000,1800,0,0,0,0,0,0.25,0.25,0
半月剑法,半月剑法,HalfMoon,3,0,24,26,28,31,5000,8000,14000,1800,0,0,0,0,0,0.3,0.1,0
野蛮冲撞,野蛮冲撞,ShoulderDash,4,4,26,30,32,34,3000,4000,6000,2500,0,0,0,4,0,1,0,0
TwinDrakeBlade,TwinDrakeBlade,TwinDrakeBlade,10,0,37,32,34,37,4000,6000,10000,1800,0,0,0,0,0,0.8,0.1,0
Entrapment,Entrapment,Entrapment,15,3,46,32,35,37,2000,3500,5500,1800,0,0,0,0,0,1,0,9
FlamingSword,FlamingSword,FlamingSword,7,0,25,35,37,40,2000,4000,6000,1800,0,0,0,0,0,1.4,0.4,0
LionRoar,LionRoar,LionRoar,14,4,42,36,39,41,5000,8000,12000,1800,0,0,0,0,0,1,0,9
CrossHalfMoon,CrossHalfMoon,CrossHalfMoon,6,0,33,38,40,42,7000,11000,16000,1800,0,0,0,0,0,0.4,0.1,0
BladeAvalanche,BladeAvalanche,BladeAvalanche,14,4,71,38,41,43,5000,8000,12000,1800,0,0,0,0,0,1,0.4,9
ProtectionField,ProtectionField,ProtectionField,23,6,50,39,42,45,6000,12000,18000,1800,0,0,0,0,0,1,0,0
Rage,Rage,Rage,20,5,49,44,47,50,8000,14000,20000,1800,0,0,0,0,0,1,0,0
CounterAttack,CounterAttack,CounterAttack,12,4,72,47,51,55,7000,11000,15000,24000,0,0,0,0,0,1,0,0
SlashingBurst,SlashingBurst,SlashingBurst,25,4,55,50,53,56,10000,16000,24000,14000,4000,3,0,1,0,3.25,0.25,0
怒击,怒击,Fury,10,4,76,45,48,51,1500,2500,4000,600000,120000,0,0,0,0,1,0,0
FireBall,FireBall,FireBall,3,2,0,7,9,11,200,350,700,1800,0,2,0,8,0,1,0,9
Repulsion,Repulsion,Repulsion,2,2,7,12,15,19,500,1300,2200,1800,0,0,0,4,0,1,0,0
ElectricShock,ElectricShock,ElectricShock,3,1,19,13,18,24,530,1100,2200,1800,0,0,0,0,0,1,0,9
GreatFireBall,GreatFireBall,GreatFireBall,5,1,4,15,18,21,2000,2700,3500,1800,0,10,0,6,0,1,0,9
HellFire,HellFire,HellFire,10,3,8,16,20,24,700,2700,3500,1800,0,6,0,14,0,1,0,0
ThunderBolt,ThunderBolt,ThunderBolt,9,2,10,17,20,23,500,2000,3500,1800,0,9,0,8,20,1,0,9
